Company Name, Industry/Sector, Severity, Support Types
Afikim Public Transportation Ltd, Transportation, CRITICAL, OPERATIONS & OTHER
AHAVA Dead Sea Laboratories, Cosmetics, CRITICAL, OPERATIONS & PRODUCTS
Airbnb Inc, Online Platforms, HIGH, OPERATIONS
Apple Inc, Technology, LOW, OPERATIONS
Ashtrom Group Ltd, Construction, CRITICAL, OPERATIONS & PRODUCTS
AXA S.A, Finance/Insurance, CRITICAL, DIRECT_FUNDING
BAE Systems plc, Defense, HIGH, CONTRACTS
Bank Hapoalim B.M, Banking, CRITICAL, DIRECT_FUNDING & OPERATIONS
Bank Leumi Le-Israel B.M, Banking, CRITICAL, DIRECT_FUNDING & OPERATIONS
Bezeq The Israel Telecom Corp, Telecommunications, CRITICAL, OPERATIONS
BNP Paribas S.A, Finance/Banking, HIGH, DIRECT_FUNDING
Boeing Company, Aerospace/Defense, HIGH, CONTRACTS
Booking Holdings Inc (Booking.com), Online Travel, HIGH, OPERATIONS
CAF (Construcciones y Auxiliar de Ferrocarriles), Transportation/Infrastructure, CRITICAL, CONTRACTS & OPERATIONS
Carrefour S.A, Retail, HIGH, PARTNERSHIPS & OPERATIONS
Caterpillar Inc, Heavy Machinery, CRITICAL, PRODUCTS & CONTRACTS
Citigroup Inc. (Citibank), Finance/Banking, MEDIUM, DIRECT_FUNDING
Cisco Systems Inc., Technology, HIGH, CONTRACTS & PRODUCTS
Combined Systems Inc. (CSI), Arms (Non-lethal), HIGH, PRODUCTS
Dell Technologies Inc., Technology, HIGH, CONTRACTS & DIRECT_FUNDING
Egged Israel Transport Coop. Society, Transportation, CRITICAL, OPERATIONS
Elbit Systems Ltd., Defense, CRITICAL, PRODUCTS & CONTRACTS
Expedia Group Inc., Online Travel, HIGH, OPERATIONS
G4S (G1 Secure Solutions), Security Services, CRITICAL, CONTRACTS & OPERATIONS
General Dynamics Corp., Defense, HIGH, CONTRACTS
General Electric Company, Energy/Technology, MEDIUM, OPERATIONS & PRODUCTS
Google LLC (Alphabet Inc.), Technology, MEDIUM, CONTRACTS & OPERATIONS
Heidelberg Materials (HeidelbergCement), Construction, CRITICAL, OPERATIONS & PRODUCTS
Hewlett Packard (HP Inc & HPE),	Technology,	HIGH,	CONTRACTS & OPERATIONS
HSBC Holdings plc,	Finance/Banking, HIGH, DIRECT_FUNDING
Intel Corporation, Technology, HIGH, OPERATIONS
Israel Aerospace Industries (IAI), Defense/Aerospace, CRITICAL, PRODUCTS & CONTRACTS
Israel Discount Bank Ltd., Banking, CRITICAL, DIRECT_FUNDING & OPERATIONS
JPMorgan Chase & Co., Finance/Banking, HIGH, DIRECT_FUNDING
JCB (JC Bamford Excavators Ltd.), Heavy Machinery, CRITICAL, PRODUCTS
Lockheed Martin Corp., Defense/Aerospace, CRITICAL, CONTRACTS
L’Oréal S.A., Cosmetics, LOW, DIRECT_FUNDING & STATEMENTS
Magal Security Systems Ltd., Security Technology, HIGH, CONTRACTS & PRODUCTS
Mekorot Water Company Ltd., Utilities (Water), CRITICAL, OPERATIONS & OTHER
Mizrahi Tefahot Bank Ltd., Banking,	CRITICAL, DIRECT_FUNDING & OPERATIONS
Motorola Solutions Inc., Telecommunications, HIGH, PRODUCTS & CONTRACTS
Nestlé S.A., Food & Beverage, CRITICAL, OPERATIONS
Northrop Grumman Corp., Defense/Aerospace, HIGH, CONTRACTS
Nykredit A/S, Finance/Banking, MEDIUM, DIRECT_FUNDING
Palantir Technologies Inc., Technology, CRITICAL, CONTRACTS & PRODUCTS & STATEMENTS
PepsiCo Inc., Food & Beverage, MEDIUM, OPERATIONS
Puma SE, Apparel, HIGH,	SPONSORSHIP
PureGym Ltd., Fitness/Wellness, MEDIUM,	STATEMENTS
Rafael Advanced Defense Systems Ltd., Defense, CRITICAL, PRODUCTS & CONTRACTS
Rami Levy Chain Stores, Retail/Supermarkets, CRITICAL, OPERATIONS
Raytheon Technologies Corp., Defense/Aerospace, HIGH, CONTRACTS
Re/Max Holdings Inc., Real Estate, CRITICAL, OPERATIONS
Shapir Engineering and Industry Ltd., Construction, CRITICAL, CONTRACTS & OPERATIONS
Siemens AG, Infrastructure/Tech, HIGH, PRODUCTS & CONTRACTS
Starbucks Corporation,	Food & Beverage, MEDIUM, STATEMENTS & DIRECT_FUNDING
Strauss Group Ltd., Food & Beverage, HIGH, DIRECT_FUNDING & STATEMENTS
Tempur Sealy International Inc., Consumer Goods, MEDIUM, OPERATIONS
Thales Group, Defense/Technology, MEDIUM, PRODUCTS
